id,size,original,solution
224,7,vypynek,vpkynye|vyeynkp|eyvknyp
225,10,wihsfckcdr,fwcdchriks|drkischfwc|wirckfschd
226,4,ednx,xedn|enxd|dnxe
227,6,bwedhp,whedbp|ephbwd
228,4,xkrb,bkxr|kbxr
229,6,mqplos,lsqpom|olsqpm
230,10,luelcofhdg,lldcegfhou|loelughdcf
231,10,dcunwqmpre,rwmeuqpndc|uqmwepdrcn|wdmrqecunp
232,8,zzmktads,zdzmsatk|szzkmtad
233,9,eluaeeeoo,euaoloeee|eoueolaee
234,8,qoiopsre,qrpseioo|orqopeis|poserioq
235,10,akobxscaip,obaxipksca
236,10,ufhkiatibt,afibthitku|atbkhituif|ttiiahbfku
237,9,xcycdynbg,gbcxdynyc
238,4,lxti,itxl|tixl
239,5,oawmb,owabm|omwba
240,7,kpzxdkx,xxkpdzk
241,5,lrctd,lrdct
242,9,zbejzrtjr,rtzbrzjje
243,6,rlxhpe,ehprxl|rehplx|plxher
244,10,jikbzejvzq,ezzvibjqkj
245,9,yligqwygz,wyzyggiql
246,5,nadoa,ndaoa
247,9,hangpwzfg,paggnfhzw
248,7,tpyoxzh,opzxhyt|oztpyhx
249,8,tfajrhyy,yjfayhrt
250,5,hrvkj,hkvrj|kjvhr
